sex,age,age_cat,race,r_decile_score,score_text,priors_count,v_decile_score,v_score_text,c_charge_degree,is_recid
Male,69,Greater than 45,Other,1,Low,0,1,Low,F,0
Male,34,25 - 45,African-American,3,Low,0,1,Low,F,1
Male,24,Less than 25,African-American,4,Low,4,3,Low,F,1
Male,23,Less than 25,African-American,8,High,1,6,Medium,F,0
Male,43,25 - 45,Other,1,Low,2,1,Low,F,0
Male,44,25 - 45,Other,1,Low,0,1,Low,M,0
Male,41,25 - 45,Caucasian,6,Medium,14,2,Low,F,1
Male,43,25 - 45,Other,4,Low,3,3,Low,F,0
Female,39,25 - 45,Caucasian,1,Low,0,1,Low,M,0
Male,21,Less than 25,Caucasian,3,Low,1,5,Medium,F,1
Male,27,25 - 45,Caucasian,4,Low,0,4,Low,F,0
Male,23,Less than 25,African-American,6,Medium,3,4,Low,M,1
Female,37,25 - 45,Caucasian,1,Low,0,1,Low,M,0
Male,41,25 - 45,African-American,4,Low,0,2,Low,F,0
Female,47,Greater than 45,Caucasian,1,Low,1,1,Low,F,1
Male,31,25 - 45,African-American,3,Low,7,2,Low,F,1
Male,37,25 - 45,Hispanic,1,Low,0,1,Low,M,0
Male,25,25 - 45,African-American,10,High,3,9,High,F,0
Male,31,25 - 45,Caucasian,5,Medium,6,4,Low,F,1
Male,31,25 - 45,Caucasian,3,Low,5,2,Low,F,1
Male,64,Greater than 45,African-American,6,Medium,13,3,Low,F,1
Male,21,Less than 25,African-American,9,High,1,9,High,F,1
Male,27,25 - 45,Caucasian,2,Low,0,3,Low,M,1
Female,21,Less than 25,Caucasian,4,Low,0,5,Medium,F,0
Male,24,Less than 25,Hispanic,4,Low,1,5,Medium,F,1
Male,43,25 - 45,Caucasian,1,Low,1,2,Low,M,0
Male,32,25 - 45,Other,3,Low,0,4,Low,M,0
Male,27,25 - 45,African-American,3,Low,8,3,Low,F,1
Female,36,25 - 45,Caucasian,3,Low,3,1,Low,F,0
Male,26,25 - 45,African-American,7,Medium,5,7,Medium,F,1
Male,33,25 - 45,African-American,10,High,0,6,Medium,F,1
Male,30,25 - 45,Caucasian,9,High,9,10,High,F,1
Male,32,25 - 45,African-American,8,High,4,3,Low,F,1
Male,55,Greater than 45,Caucasian,1,Low,0,1,Low,F,0
Male,49,Greater than 45,Other,3,Low,7,2,Low,F,1
Male,26,25 - 45,Caucasian,8,High,6,8,High,M,0
Female,33,25 - 45,Caucasian,5,Medium,4,2,Low,M,1
Male,24,Less than 25,Caucasian,2,Low,1,3,Low,M,1
